transaction_description,transaction_amount,transaction_account_type
home phone BPAY Bill Payment - Receipt 250855 To TELSTRA CORP LTD 2000518971229,-1,credit-card
TRF 5191630231943012,2500,savings
Easypay Base Balance Fee,-24.65,transaction
Direct Credit 002221 MCARE BENEFITS 220040444 AYWQ,38.95,transaction
OLPS PRIMARY NetBank BPAY 515395 213241009454 ruby Perosin,-533,transaction
KMART 1181 CLARKSON AU Cash Out $100.00 Purchase $17.00,-117,transaction
WITHDRAWAL ONLINE MULTI 1032960 BPAY MANUAL,-826.35,term-deposit
TRANSFER,-600,loan
C ADV NAB ATM FEE,-6,credit-card
CUSC COLES 7587 WOLLONGONG 01/06/19 eftpos,-36.32,savings
PAYMENT-BPAY-THANK YOU,500,credit-card
LOAN APPROVAL FEE - HOUSING,-600,mortgage
LOAN DRAWDOWN,-274701.17,mortgage
WITHHOLDING TAX PAID,-0.01,savings
PAYW WOOLWORTHS 1056 NARRABEEN 16/06/19 Card Purchase,-45.45,savings
ACTIVITY FEE,-5,savings
DEBIT INTEREST INT AFTER M/SAVR OFFSET $101.62,-200,loan
MORELAND COUNCIL     Phone BPAY 35105 1885206,-426,transaction
"Direct Credit COOPER,MADELEINE 175029 5 Landsborough st",840,savings
Credit Interest $0.68 Less W/Tax $0.22,200,credit-card
Interest - Cash Advances,-0.2,credit-card
Interest Cr $0.16,0.16,savings
Dishonour Fee,-12,savings
PAYPAL *BIGWPHOTOSO 4029357733 AUS,-9.6,credit-card
DEBIT CARD REFUND UBER help.uber.com     SYDNEY       AUS,8,transaction
INTEREST,4.41,savings
Foreign Transaction Fee,-2.76,credit-card
Interest,20,transaction
Interest Paid,0.54,savings
Tix - Receipt 385472 - To Orange Everyday,-100.98,savings
Intl Visa Fee,-0.03,savings
Electronic Payment Return Fee,-24.65,transaction
ATM WITHDRAWAL  TOOWOOMBA SC,-40,transaction
Wdl ATM CBA ATM  BONDI BCH SHOP NSW 212395   AUS,-400,transaction
MAINTENANCE FEE,-3.99,transaction
Offshore Service Margins**,-0.06,credit-card
Transfer from xx1569 NetBank Owners draw,200,transaction
PERIODICAL PAYMENT TO COMPLETE FIXED HL,-957.18,transaction
INTERNATIONAL TXN FEE,-4.55,credit-card
Bpay payment to Shire of Capel 93179,-24.65,transaction
Phone Bill - Transfer to Rent - Westpac - Receipt 139511 To 733000 863736,-35,transaction
ANZ INTERNET BANKING BPAY ENERGYAUSTRALIA PT {687323},-120,transaction
BPAY VODAFONE P/L POSTPAID,-37.51,savings
PAYMENT TO SETTLEMENT NUMER 15582509 PLAINS DD,-24.21,transaction
PP FEE,-6.75,transaction
Debit Interest,-1.2,transaction
INTEREST PURCHASE,-84.88,credit-card
Late Payment Fee,-15,credit-card
PAYPAL *AMAYSIMAUST 4****722911/2018,-44.9,transaction
IB TRANSFER 4****123026981 5:28AM,-20,credit-card
ATM W/D WBC 140 THE P-13:32,-400,transaction
Direct debit dishonour fee,-10,savings
NAB Connect Fee February 2019,-2,transaction
HOL transfer to L1.2 #1140341786,-2,savings
MB Transfer Ex 12-3091- 0136088-00,37,transaction
International Transaction Fee Receipt 123265,-2.35,transaction
CREDIT INTEREST,0.01,savings
ST MARYS BRANCH #1 ST MARYS Receipt 371571 ATM owner fee of $0.00 charged by ST MARYS BRANCH #1 ST MARYS Date 29 Dec 2018 Time 2:29PM Card xxxxxxxxxxxx9344,-20,transaction
ANZ INTERNET BANKING FUNDS TFER TRANSFER 968812 TO DIANE M HARP,-40,transaction
OFFICEWORKS 0609          MORLEY,-75.95,credit-card
CREDIT TRANSFER FROM STEVEN MICHAEL KING,1250,loan
BRANCH WITHDRAWAL FEE,-3,transaction
PAY K L WILSON,-24.65,transaction
PHONE BANKING BPAY TELSTRA CORP LTD 2000278854573,-100,transaction
hodl - BPAY Bill Payment - Receipt 668621 To BTC MARKETS 100014014987373,-2000,transaction
CASH ADVANCE INTEREST,-0.01,credit-card
Refund of ATM - Operator withdrawal fee,2.5,transaction
INTEREST ON CASH ADV(S),-1.09,credit-card
INTEREST DEBIT,-0.05,transaction
Bonus Interest,0.24,savings
Transfer To P J SLATTERY PayID Email from CommBank App weeklyspending,-200,transaction
CASH WITHDRAWAL CLEVELAND (CLOSED 7/09,-3500,transaction
DD FAILURE FEE,-15,savings
INTEREST ON CASH ADV,-0.36,credit-card
Foreign Currency Conversn Fee,-0.57,transaction
TFR from 708536S3 MOB,20,transaction
PROCEEDS OVERSEAS TELEGRAPHIC TRANSFER 104879 DR GERGELY KASA,1500,transaction
INTEREST CHARGE 64721224-00005 688.94,-688.94,mortgage
PAYPAL *BIGWPHOTOS 4029357733 AUS,-24.25,transaction
POS W/D THE FEATHERS -17:23,-18,transaction
Transfer From: 06-0209-0222165-50 Credit Transfer 102036,-50,transaction
Eftpos Refund 19Feb16:26 General Pants 21 Chatswood Au,40,transaction
LATE PAYMENT FEE,-15,credit-card
25 EXCESS INTERNET/ONLINE TRANSACTIONS - FEE,-15,savings
COLES 0511 CORIO AU Cash Out $50.00,-50,transaction
BONUS INTEREST,3.21,savings
V5661 19/05 WOOLWORTHS 1669 CE SURRY HILL 07182601101,-8.55,transaction
BONUS CREDIT INTEREST PAID,0.11,savings
INTEREST CHARGES - CAS H,-1.44,credit-card
Overdrawn Acct Management Fee,-24.65,transaction
Redi ATM DCP-Chatswood C 822035 AUS,-202,transaction
Refund of POS purchase054040_WOOLWORTHS ONLINE 8843,149.85,savings
Direct Credit 301500 ONLINE MENTOR CommBiz CATAPULT 3031339,-387,transaction
MONTHLY ACCOUNT FEE,-5,transaction
LOAN INSTALMENT     TO A/C 894754724,-2073.46,transaction
Wdl ATM Redi ATM CEXP BERKSHIREBerkshire AU,-100,transaction
Non CBA ATM Withdrawal Fee,-2.9,transaction
INTEREST DEBIT,-25.68,mortgage
Phone/Internet Tfr From    0000477168388,4694.47,credit-card
Ext Tfr TONYOBJRRent128WAS - NET#626619380 to 117714816 55 Central Inc BBL - Ben,-24.65,transaction
TFR TO 697591L8 PP,-45.29,transaction
VISA PURCHASE PROFESSIONAIL            7971,-15,savings
EFTPOS PURCHASE UNITED ACCACIA RIDGE     3239,-15.99,savings
Internal Transfer - Receipt No 803890From 0034060754,298,mortgage
AP#11207661 TO CHILDSPACE WILTON,-320,mortgage
ATM Direct Charge Fe,-2.5,savings
Overseas Withdrawal Fee,-24.65,transaction
International Transaction Fee - Receipt 176483,-0.59,transaction
Account Service Fee,-5,transaction
INTEREST,0.04,transaction
Interest Charge,-136.67,mortgage
POS purchase131059/0129120040 KMART 1060 MAROOCHYDORE AU,-10,savings
ATM 15th10:38PB BALIMYSTIQUE FOREIGN CUR TRAN FEE,-2.97,transaction
Atm Withdrawal -Wbc 14Jun10:34 Westpac Kingsford 2 Au,-80,transaction
Interest Credit,0.95,savings
Loan RepaymentInterest 12-3142-0464023-91 002,-92,transaction
V4660 29/05 FOREIGN CURRENCY TRAN FEE 74105049149,-3.05,transaction
International Purchase Fee,-3.27,transaction
Tfr Wdl BPAY Internet         01Ju****3050     Telstra Corp Ltd,-50,transaction
ATO PAYMENT SYDNEY AU,-5683,credit-card
Eftpos Refund 30Jun20:33 Beem It Beem.Com.Au Nswau,13.25,transaction
Foreign Transaction Fee,-1.53,credit-card
Visa Purchase 06Sep Woolworths 2507 Plainland,-20,transaction
DR.Int To 01/03/2019,-2,credit-card
Cardless Cash return,123.45,transaction
UNDRAWN FEE,-6.79,investment
BONUS CR INTEREST $20.26 LESS R/W TAX $6.07,14.19,savings
EFTPOS Purchase - Receipt 046517 METRO PETROLEUM C P NDELL PARK N Date 22/12/18 Card 6446,-5,transaction
CommBank app TFR to 61477077020 bond bitch,-898,transaction
Direct Debit -CITY FITNESS GROUP LIMITED Ref: 0O10087M009B CityFitness G,-60.62,transaction
Transfer to CBA A/c NetBank NugWages,-1043.15,transaction
J STEEL happi anuversuree - Osko Payment to +61-431442297 - Receipt 628293 ,-350,transaction
Easypay VISA Cash Advance Fee,-24.65,transaction
PAYMENT BY AUTHORITY TO DEBT BUSTERS 156108140,-176.65,transaction
CASH ADVANCE FEE,-4,credit-card
TRANSFER FROM CTRLINK NEWSTART 411J8379303079449X,126.1,transaction
GROSS INT          16.23 TAX 47.00%          7.00 NET INTEREST,9.23,savings
FN Transfer To Card 1040,-250,transaction
"Direct Credit SENG,KARINA YIME - Transfers",500,transaction
LOAN INTEREST,-171.07,mortgage
CR LONSDALE ST         ME LBOURNE - EFTPOS Refund - Receipt 27561Date 03 Mar 2019 Time 3:59PM Card 462263xxxxxx9702,258,transaction
NABATM CSH 07th11:29QUEEN VICTORIA MARKE,-100,transaction
DEBIT INTEREST,-0.06,transaction
FEE ACCOUNT 084472 974873387,-14.8,transaction
Fee Refund,10,transaction
AP#10990960 TO A J MULLIGAN Transfer to A J MULLIGAN - 10 LOAN REPYMT,-500,transaction
